Modelo,Vectorización,Accuracy,F1 (weighted),F1 (macro),Best Params
Logistic Regression,Bag of Words,0.8538,0.8547,0.8539,"{'clf__C': 10, 'clf__solver': 'lbfgs'}"
Naive Bayes,Bag of Words,0.8525,0.8524,0.8501,{'clf__alpha': 0.1}
Random Forest,Bag of Words,0.8283,0.83,0.8283,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}"
Logistic Regression,TF-IDF,0.8662,0.8666,0.8657,"{'clf__C': 10, 'clf__solver': 'lbfgs'}"
Naive Bayes,TF-IDF,0.8482,0.8481,0.8448,{'clf__alpha': 0.5}
Random Forest,TF-IDF,0.8395,0.8398,0.8385,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}"
Logistic Regression,Embeddings,0.9282,0.9285,0.9293,"{'clf__C': 10, 'clf__solver': 'lbfgs'}"
Naive Bayes,Embeddings,0.8678,0.8696,0.8733,{'clf__var_smoothing': 1e-12}
Random Forest,Embeddings,0.9075,0.9077,0.9091,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}"
