Modelo,Accuracy,Precision (macro),Recall (macro),F1 (macro),F1 (weighted),Tiempo (s),Best Params,Vectorización
Logistic Regression,0.8538,0.8589,0.854,0.8539,0.8547,9.7,"{'clf__C': 10, 'clf__solver': 'lbfgs'}",Bag of Words
Naive Bayes,0.8525,0.8551,0.8504,0.8501,0.8524,4.2,{'clf__alpha': 0.1},Bag of Words
Random Forest,0.8283,0.8362,0.83,0.8283,0.83,28.2,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",Bag of Words
Logistic Regression,0.8662,0.8718,0.8642,0.8657,0.8666,3.6,"{'clf__C': 10, 'clf__solver': 'lbfgs'}",TF-IDF
Naive Bayes,0.8482,0.85,0.8465,0.8448,0.8481,0.3,{'clf__alpha': 0.5},TF-IDF
Random Forest,0.8395,0.8439,0.8392,0.8385,0.8398,26.4,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",TF-IDF
Logistic Regression,0.9282,0.9315,0.9294,0.9293,0.9285,6.0,"{'clf__C': 10, 'clf__solver': 'lbfgs'}",Embeddings
Naive Bayes,0.8678,0.8825,0.8707,0.8733,0.8696,2.2,{'clf__var_smoothing': 1e-12},Embeddings
Random Forest,0.9085,0.9151,0.9097,0.9104,0.9087,155.0,"{'clf__max_depth': 30, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",Embeddings
